Name,Patners 1,Skills ,Skills 2,Skills 3,Skills 4,Skills 5,Skills 6,Skills 7,Skills 8,Skills 9,Skills 10,Skills 11,Skills 12,Skills 13,Skills 14,Skills 15,Skills 16,Skills 17,Skills 18,Skills 19,Url,Job category,Difficulty,Duration,skill_list,skill_list_clean
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,Feature Engineering,MLOps (Machine Learning Operations),Model Optimization,Generative AI,Google Cloud Platform,Model Deployment,Tensorflow,Generative AI Agents,Google Gemini,Model Training,Dataflow,Big Data,Keras (Neural Network Library),Machine Learning,Generative Model Architectures,Data Preprocessing,Machine Learning Software,CI/CD,Machine Learning Methods,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,Machine Learning Engineer,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['feature engineering', 'mlops (machine learning operations)', 'model optimization', 'generative ai', 'google cloud platform', 'model deployment', 'tensorflow', 'generative ai agents', 'google gemini', 'model training', 'dataflow', 'big data', 'keras (neural network library)', 'machine learning', 'generative model architectures', 'data preprocessing', 'machine learning software', 'ci/cd', 'machine learning methods']","['feature engineering', 'mlops (machine learning operations)', 'model optimization', 'generative ai', 'google cloud platform', 'model deployment', 'tensorflow', 'generative ai agents', 'google gemini', 'model training', 'dataflow', 'big data', 'keras (neural network library)', 'machine learning', 'generative model architectures', 'data preprocessing', 'machine learning software', 'ci/cd', 'machine learning methods']"
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,Cloud Infrastructure,Identity and Access Management,Kubernetes,Google Cloud Platform,Cloud Management,Prompt Engineering,Cloud Storage,Containerization,Infrastructure As A Service (IaaS),Prompt Engineering Tools,Cloud Computing,Cloud Solutions,Prompt Patterns,Cloud-Native Computing,Terraform,Cloud Applications,Cloud Platforms,Cloud Computing Architecture,Infrastructure Architecture,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,Cloud Engineer,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['cloud infrastructure', 'identity and access management', 'kubernetes', 'google cloud platform', 'cloud management', 'prompt engineering', 'cloud storage', 'containerization', 'infrastructure as a service (iaas)', 'prompt engineering tools', 'cloud computing', 'cloud solutions', 'prompt patterns', 'cloud-native computing', 'terraform', 'cloud applications', 'cloud platforms', 'cloud computing architecture', 'infrastructure architecture']","['cloud infrastructure', 'identity and access management', 'kubernetes', 'google cloud platform', 'cloud management', 'prompt engineering', 'cloud storage', 'containerization', 'infrastructure as a service (iaas)', 'prompt engineering tools', 'cloud computing', 'cloud solutions', 'prompt patterns', 'cloud-native computing', 'terraform', 'cloud applications', 'cloud platforms', 'cloud computing architecture', 'infrastructure architecture']"
"Foundations: Data, Data, Everywhere",Google,Data Ethics,Data Analysis,Analytics,Data-Driven Decision-Making,Data Literacy,Spreadsheet Software,Analytical Skills,Tableau Software,Data Sharing,Data Cleansing,Data Processing,Data Visualization Software,Data Visualization,SQL,Query Languages,,,,,https://www.coursera.org/learn/foundations-data,General IT Specialist,BEGINNER,ONE_TO_FOUR_WEEKS,"['data ethics', 'data analysis', 'analytics', 'data-driven decision-making', 'data literacy', 'spreadsheet software', 'analytical skills', 'tableau software', 'data sharing', 'data cleansing', 'data processing', 'data visualization software', 'data visualization', 'sql', 'query languages']","['data ethics', 'data analysis', 'analytics', 'data-driven decision-making', 'data literacy', 'spreadsheet software', 'analytical skills', 'tableau software', 'data sharing', 'data cleansing', 'data processing', 'data visualization software', 'data visualization', 'sql', 'query languages']"
Preparing for Your Associate Cloud Engineer Journey,Google Cloud,Cloud Management,Cloud Engineering,Cloud Computing,Identity and Access Management,Google Cloud Platform,Cloud Infrastructure,Cloud Services,Cloud Solutions,Cloud Deployment,Cloud Security,Cloud Storage,System Monitoring,,,,,,,,https://www.coursera.org/learn/preparing-cloud-associate-cloud-engineer-exam,Cloud Engineer,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['cloud management', 'cloud engineering', 'cloud computing', 'identity and access management', 'google cloud platform', 'cloud infrastructure', 'cloud services', 'cloud solutions', 'cloud deployment', 'cloud security', 'cloud storage', 'system monitoring']","['cloud management', 'cloud engineering', 'cloud computing', 'identity and access management', 'google cloud platform', 'cloud infrastructure', 'cloud services', 'cloud solutions', 'cloud deployment', 'cloud security', 'cloud storage', 'system monitoring']"
Elasticsearch Joins & Parent-Child Queries,EDUCBA,Data Modeling,Query Languages,Data Mapping,NoSQL,Event-Driven Programming,Relational Databases,Scalability,Performance Tuning,Data Validation,,,,,,,,,,,https://www.coursera.org/learn/elasticsearch-joins-parent-child-queries,General IT Specialist,MIXED,ONE_TO_FOUR_WEEKS,"['data modeling', 'query languages', 'data mapping', 'nosql', 'event-driven programming', 'relational databases', 'scalability', 'performance tuning', 'data validation']","['data modeling', 'query languages', 'data mapping', 'nosql', 'event-driven programming', 'relational databases', 'scalability', 'performance tuning', 'data validation']"
Lakehouse Architecture and Delta Lake with Databricks,Edureka,Transaction Processing,Data Lakes,Data Architecture,Databricks,Data Infrastructure,Data Pipelines,Data Warehousing,Data Integration,Apache Spark,Data Processing,Real Time Data,Big Data,Scalability,Performance Tuning,Data Quality,Data Storage Technologies,SQL,,,https://www.coursera.org/learn/lakehouse-architecture-delta-lake-databricks,General IT Specialist,INTERMEDIATE,ONE_TO_FOUR_WEEKS,"['transaction processing', 'data lakes', 'data architecture', 'databricks', 'data infrastructure', 'data pipelines', 'data warehousing', 'data integration', 'apache spark', 'data processing', 'real time data', 'big data', 'scalability', 'performance tuning', 'data quality', 'data storage technologies', 'sql']","['transaction processing', 'data lakes', 'data architecture', 'databricks', 'data infrastructure', 'data pipelines', 'data warehousing', 'data integration', 'apache spark', 'data processing', 'real time data', 'big data', 'scalability', 'performance tuning', 'data quality', 'data storage technologies', 'sql']"
Microsoft Azure Data Fundamentals DP-900 Exam Prep,Microsoft,Azure Synapse Analytics,Microsoft Azure,Power BI,Databricks,Data Processing,Database Administration,Microsoft SQL Servers,Data Warehousing,Database Theory,Databases,Cloud Services,Data Architecture,NoSQL,Apache Spark,Relational Databases,Database Systems,Cloud Storage,Database Management Systems,MySQL,https://www.coursera.org/specializations/microsoft-azure-dp-900-data-fundamentals,Cloud Engineer,BEGINNER,THREE_TO_SIX_MONTHS,"['azure synapse analytics', 'microsoft azure', 'power bi', 'databricks', 'data processing', 'database administration', 'microsoft sql servers', 'data warehousing', 'database theory', 'databases', 'cloud services', 'data architecture', 'nosql', 'apache spark', 'relational databases', 'database systems', 'cloud storage', 'database management systems', 'mysql']","['azure synapse analytics', 'microsoft azure', 'power bi', 'databricks', 'data processing', 'database administration', 'microsoft sql servers', 'data warehousing', 'database theory', 'databases', 'cloud services', 'data architecture', 'nosql', 'apache spark', 'relational databases', 'database systems', 'cloud storage', 'database management systems', 'mysql']"
Big Data,University of California San Diego,Apache Spark,Model Evaluation,Apache Hadoop,Data Integration,Exploratory Data Analysis,Big Data,Classification Algorithms,Graph Theory,Data Pipelines,Network Model,Model Training,Database Design,Data Modeling,Regression Analysis,Data Mining,Data Management,Data Infrastructure,Data Presentation,Data Processing,https://www.coursera.org/specializations/big-data,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['apache spark', 'model evaluation', 'apache hadoop', 'data integration', 'exploratory data analysis', 'big data', 'classification algorithms', 'graph theory', 'data pipelines', 'network model', 'model training', 'database design', 'data modeling', 'regression analysis', 'data mining', 'data management', 'data infrastructure', 'data presentation', 'data processing']","['apache spark', 'model evaluation', 'apache hadoop', 'data integration', 'exploratory data analysis', 'big data', 'classification algorithms', 'graph theory', 'data pipelines', 'network model', 'model training', 'database design', 'data modeling', 'regression analysis', 'data mining', 'data management', 'data infrastructure', 'data presentation', 'data processing']"
Data Science,Johns Hopkins University,Shiny (R Package),Rmarkdown,Exploratory Data Analysis,Model Evaluation,R (Software),Regression Analysis,Leaflet (Software),Version Control,Statistical Analysis,R Programming,Data Manipulation,Data Cleansing,Data Science,Statistical Inference,Predictive Modeling,Statistical Hypothesis Testing,Data Wrangling,Data Visualization,Machine Learning,https://www.coursera.org/specializations/jhu-data-science,Data Scientist,BEGINNER,THREE_TO_SIX_MONTHS,"['shiny (r package)', 'rmarkdown', 'exploratory data analysis', 'model evaluation', 'r (software)', 'regression analysis', 'leaflet (software)', 'version control', 'statistical analysis', 'r programming', 'data manipulation', 'data cleansing', 'data science', 'statistical inference', 'predictive modeling', 'statistical hypothesis testing', 'data wrangling', 'data visualization', 'machine learning']","['shiny (r package)', 'rmarkdown', 'exploratory data analysis', 'model evaluation', 'r (software)', 'regression analysis', 'leaflet (software)', 'version control', 'statistical analysis', 'r programming', 'data manipulation', 'data cleansing', 'data science', 'statistical inference', 'predictive modeling', 'statistical hypothesis testing', 'data wrangling', 'data visualization', 'machine learning']"
PostgreSQL 17: High Availability & Advanced Administration,Packt,PostgreSQL,Data Maintenance,Performance Tuning,Database Architecture and Administration,Data Migration,Relational Databases,Data Management,Data Persistence,SQL,Data Integrity,Database Management,Disaster Recovery,Transaction Processing,System Monitoring,,,,,,https://www.coursera.org/learn/packt-postgresql-17-high-availability-and-advanced-administration-1frd9,General IT Specialist,ADVANCED,ONE_TO_THREE_MONTHS,"['postgresql', 'data maintenance', 'performance tuning', 'database architecture and administration', 'data migration', 'relational databases', 'data management', 'data persistence', 'sql', 'data integrity', 'database management', 'disaster recovery', 'transaction processing', 'system monitoring']","['postgresql', 'data maintenance', 'performance tuning', 'database architecture and administration', 'data migration', 'relational databases', 'data management', 'data persistence', 'sql', 'data integrity', 'database management', 'disaster recovery', 'transaction processing', 'system monitoring']"
IBM Data Science,IBM,Data Storytelling,Dashboard Creation,Dashboard,Data Presentation,Data Wrangling,Plotly,Data Visualization Software,Web Scraping,Data Visualization,Exploratory Data Analysis,SQL,Plot (Graphics),Unsupervised Learning,Interactive Data Visualization,Supervised Learning,Jupyter,Data Literacy,Generative AI,Professional Networking,https://www.coursera.org/professional-certificates/ibm-data-science,Data Scientist,BEGINNER,THREE_TO_SIX_MONTHS,"['data storytelling', 'dashboard creation', 'dashboard', 'data presentation', 'data wrangling', 'plotly', 'data visualization software', 'web scraping', 'data visualization', 'exploratory data analysis', 'sql', 'plot (graphics)', 'unsupervised learning', 'interactive data visualization', 'supervised learning', 'jupyter', 'data literacy', 'generative ai', 'professional networking']","['data storytelling', 'dashboard creation', 'dashboard', 'data presentation', 'data wrangling', 'plotly', 'data visualization software', 'web scraping', 'data visualization', 'exploratory data analysis', 'sql', 'plot (graphics)', 'unsupervised learning', 'interactive data visualization', 'supervised learning', 'jupyter', 'data literacy', 'generative ai', 'professional networking']"
Data Science Foundations,University of London,Dashboard Creation,Dashboard,Web Scraping,Pseudocode,Jupyter,Algorithms,Data Literacy,Data Mining,Data Analysis,R (Software),Data Presentation,Correlation Analysis,Pandas (Python Package),NumPy,Predictive Modeling,Python Programming,Machine Learning Algorithms,Data Science,Machine Learning,https://www.coursera.org/specializations/data-science-foundations,Data Scientist,BEGINNER,THREE_TO_SIX_MONTHS,"['dashboard creation', 'dashboard', 'web scraping', 'pseudocode', 'jupyter', 'algorithms', 'data literacy', 'data mining', 'data analysis', 'r (software)', 'data presentation', 'correlation analysis', 'pandas (python package)', 'numpy', 'predictive modeling', 'python programming', 'machine learning algorithms', 'data science', 'machine learning']","['dashboard creation', 'dashboard', 'web scraping', 'pseudocode', 'jupyter', 'algorithms', 'data literacy', 'data mining', 'data analysis', 'r (software)', 'data presentation', 'correlation analysis', 'pandas (python package)', 'numpy', 'predictive modeling', 'python programming', 'machine learning algorithms', 'data science', 'machine learning']"
Data Literacy,Johns Hopkins University,Surveys,Survey Creation,Data Literacy,Data Visualization,Peer Review,Research Design,Statistics,Probability & Statistics,Data Presentation,Sampling (Statistics),Regression Analysis,Descriptive Statistics,Research,Probability,Quantitative Research,Analytics,Probability Distribution,Logistic Regression,Correlation Analysis,https://www.coursera.org/specializations/data-literacy,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['surveys', 'survey creation', 'data literacy', 'data visualization', 'peer review', 'research design', 'statistics', 'probability & statistics', 'data presentation', 'sampling (statistics)', 'regression analysis', 'descriptive statistics', 'research', 'probability', 'quantitative research', 'analytics', 'probability distribution', 'logistic regression', 'correlation analysis']","['surveys', 'survey creation', 'data literacy', 'data visualization', 'peer review', 'research design', 'statistics', 'probability & statistics', 'data presentation', 'sampling (statistics)', 'regression analysis', 'descriptive statistics', 'research', 'probability', 'quantitative research', 'analytics', 'probability distribution', 'logistic regression', 'correlation analysis']"
IBM Data Architecture,IBM,NoSQL,Database Administration,Data Warehousing,SQL,Data Pipelines,Apache Hadoop,Database Architecture and Administration,Database Design,Database Management,Relational Databases,Data Security,Linux Commands,Data Migration,Data Governance,MongoDB,Apache Spark,Apache Kafka,Database Development,"Extract, Transform, Load",https://www.coursera.org/professional-certificates/ibm-data-architect,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['nosql', 'database administration', 'data warehousing', 'sql', 'data pipelines', 'apache hadoop', 'database architecture and administration', 'database design', 'database management', 'relational databases', 'data security', 'linux commands', 'data migration', 'data governance', 'mongodb', 'apache spark', 'apache kafka', 'database development', 'extract, transform, load']","['nosql', 'database administration', 'data warehousing', 'sql', 'data pipelines', 'apache hadoop', 'database architecture and administration', 'database design', 'database management', 'relational databases', 'data security', 'linux commands', 'data migration', 'data governance', 'mongodb', 'apache spark', 'apache kafka', 'database development', 'extract, transform, load']"
IBM Data Management,IBM,Dashboard,Data Warehousing,Data Storytelling,SQL,Data Visualization,Dashboard Creation,Database Design,Data Security,Data Migration,Data Governance,Data Presentation,Descriptive Statistics,IBM DB2,"Extract, Transform, Load",Data Management,MySQL,Databases,Data Architecture,Excel Formulas,https://www.coursera.org/professional-certificates/ibm-data-manager,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['dashboard', 'data warehousing', 'data storytelling', 'sql', 'data visualization', 'dashboard creation', 'database design', 'data security', 'data migration', 'data governance', 'data presentation', 'descriptive statistics', 'ibm db2', 'extract, transform, load', 'data management', 'mysql', 'databases', 'data architecture', 'excel formulas']","['dashboard', 'data warehousing', 'data storytelling', 'sql', 'data visualization', 'dashboard creation', 'database design', 'data security', 'data migration', 'data governance', 'data presentation', 'descriptive statistics', 'ibm db2', 'extract, transform, load', 'data management', 'mysql', 'databases', 'data architecture', 'excel formulas']"
Data Structures,University of California San Diego,Data Structures,Algorithms,Data Storage,Graph Theory,Computer Programming,C++ (Programming Language),Java Programming,Java,,,,,,,,,,,,https://www.coursera.org/learn/data-structures,General IT Specialist,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['data structures', 'algorithms', 'data storage', 'graph theory', 'computer programming', 'c++ (programming language)', 'java programming', 'java']","['data structures', 'algorithms', 'data storage', 'graph theory', 'computer programming', 'c++ (programming language)', 'java programming', 'java']"
Introduction to Data Science,IBM,SQL,Jupyter,Data Literacy,Data Mining,R (Software),Data Modeling,Database Management,Relational Databases,Stored Procedure,R Programming,Model Deployment,Databases,Data Science,Data Processing,Big Data,Query Languages,GitHub,Software Development Tools,Data Visualization Software,https://www.coursera.org/specializations/introduction-data-science,Data Scientist,BEGINNER,THREE_TO_SIX_MONTHS,"['sql', 'jupyter', 'data literacy', 'data mining', 'r (software)', 'data modeling', 'database management', 'relational databases', 'stored procedure', 'r programming', 'model deployment', 'databases', 'data science', 'data processing', 'big data', 'query languages', 'github', 'software development tools', 'data visualization software']","['sql', 'jupyter', 'data literacy', 'data mining', 'r (software)', 'data modeling', 'database management', 'relational databases', 'stored procedure', 'r programming', 'model deployment', 'databases', 'data science', 'data processing', 'big data', 'query languages', 'github', 'software development tools', 'data visualization software']"
IBM Data Analyst,IBM,Data Storytelling,Dashboard Creation,Data Presentation,Data Wrangling,Generative AI,Plotly,Data Visualization Software,Web Scraping,Data Visualization,Exploratory Data Analysis,SQL,Plot (Graphics),Dashboard,Interactive Data Visualization,Data Analysis,Professional Networking,IBM Cognos Analytics,Excel Formulas,Python Programming,https://www.coursera.org/professional-certificates/ibm-data-analyst,Data Analyst,BEGINNER,THREE_TO_SIX_MONTHS,"['data storytelling', 'dashboard creation', 'data presentation', 'data wrangling', 'generative ai', 'plotly', 'data visualization software', 'web scraping', 'data visualization', 'exploratory data analysis', 'sql', 'plot (graphics)', 'dashboard', 'interactive data visualization', 'data analysis', 'professional networking', 'ibm cognos analytics', 'excel formulas', 'python programming']","['data storytelling', 'dashboard creation', 'data presentation', 'data wrangling', 'generative ai', 'plotly', 'data visualization software', 'web scraping', 'data visualization', 'exploratory data analysis', 'sql', 'plot (graphics)', 'dashboard', 'interactive data visualization', 'data analysis', 'professional networking', 'ibm cognos analytics', 'excel formulas', 'python programming']"
Google Data Analytics,Google,Data Storytelling,Rmarkdown,Data Visualization,Data Presentation,Data Ethics,Data Cleansing,Interactive Data Visualization,Data Validation,Ggplot2,Google Sheets,Sampling (Statistics),Spreadsheet Software,Data Analysis,Stakeholder Communications,LinkedIn,Object Oriented Programming (OOP),File Management,Web Presence,Data Structures,https://www.coursera.org/professional-certificates/google-data-analytics,Data Analyst,BEGINNER,THREE_TO_SIX_MONTHS,"['data storytelling', 'rmarkdown', 'data visualization', 'data presentation', 'data ethics', 'data cleansing', 'interactive data visualization', 'data validation', 'ggplot2', 'google sheets', 'sampling (statistics)', 'spreadsheet software', 'data analysis', 'stakeholder communications', 'linkedin', 'object oriented programming (oop)', 'file management', 'web presence', 'data structures']","['data storytelling', 'rmarkdown', 'data visualization', 'data presentation', 'data ethics', 'data cleansing', 'interactive data visualization', 'data validation', 'ggplot2', 'google sheets', 'sampling (statistics)', 'spreadsheet software', 'data analysis', 'stakeholder communications', 'linkedin', 'object oriented programming (oop)', 'file management', 'web presence', 'data structures']"
Data Mining,University of Illinois Urbana-Champaign,Data Visualization,Data Visualization Software,Text Mining,Data Presentation,Data Mining,Dashboard,Tableau Software,Plot (Graphics),Dashboard Creation,Natural Language Processing,Unsupervised Learning,Data Mapping,Unstructured Data,Statistical Analysis,Graphing,Big Data,Data-Driven Decision-Making,Analytics,Data Analysis,https://www.coursera.org/specializations/data-mining,General IT Specialist,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['data visualization', 'data visualization software', 'text mining', 'data presentation', 'data mining', 'dashboard', 'tableau software', 'plot (graphics)', 'dashboard creation', 'natural language processing', 'unsupervised learning', 'data mapping', 'unstructured data', 'statistical analysis', 'graphing', 'big data', 'data-driven decision-making', 'analytics', 'data analysis']","['data visualization', 'data visualization software', 'text mining', 'data presentation', 'data mining', 'dashboard', 'tableau software', 'plot (graphics)', 'dashboard creation', 'natural language processing', 'unsupervised learning', 'data mapping', 'unstructured data', 'statistical analysis', 'graphing', 'big data', 'data-driven decision-making', 'analytics', 'data analysis']"
Oracle Database Administration from Zero to Hero,Packt,Oracle Databases,Relational Databases,Database Management Systems,Database Architecture and Administration,Data Import/Export,Patch Management,Memory Management,Database Management,Multi-Tenant Cloud Environments,Data Migration,Database Software,Data Storage Technologies,Software Installation,Performance Tuning,Servers,Query Languages,User Accounts,System Configuration,Virtual Environment,https://www.coursera.org/specializations/packt-oracle-database-administration-from-zero-to-hero,Database Administrator,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['oracle databases', 'relational databases', 'database management systems', 'database architecture and administration', 'data import/export', 'patch management', 'memory management', 'database management', 'multi-tenant cloud environments', 'data migration', 'database software', 'data storage technologies', 'software installation', 'performance tuning', 'servers', 'query languages', 'user accounts', 'system configuration', 'virtual environment']","['oracle databases', 'relational databases', 'database management systems', 'database architecture and administration', 'data import/export', 'patch management', 'memory management', 'database management', 'multi-tenant cloud environments', 'data migration', 'database software', 'data storage technologies', 'software installation', 'performance tuning', 'servers', 'query languages', 'user accounts', 'system configuration', 'virtual environment']"
"Automate, Debug, and Customize SQL Databases",Coursera,SQL,Database Development,Databases,Debugging,Maintainability,Procedure Development,,,,,,,,,,,,,,https://www.coursera.org/learn/automate-debug-and-customize-sql-databases,Data Analyst,ADVANCED,ONE_TO_FOUR_WEEKS,"['sql', 'database development', 'databases', 'debugging', 'maintainability', 'procedure development']","['sql', 'database development', 'databases', 'debugging', 'maintainability', 'procedure development']"
Database Deployment and Maintenance Essentials,John Wiley & Sons,Database Administration,Database Architecture and Administration,Database Systems,Database Management,Database Management Systems,Databases,Operational Databases,Data Maintenance,Database Design,Data Management,Data Integrity,Data Security,SQL,Data Validation,System Monitoring,Security Controls,Performance Tuning,Query Languages,Disaster Recovery,https://www.coursera.org/learn/wiley-database-deployment-and-maintenance-essentials,Database Administrator,INTERMEDIATE,ONE_TO_FOUR_WEEKS,"['database administration', 'database architecture and administration', 'database systems', 'database management', 'database management systems', 'databases', 'operational databases', 'data maintenance', 'database design', 'data management', 'data integrity', 'data security', 'sql', 'data validation', 'system monitoring', 'security controls', 'performance tuning', 'query languages', 'disaster recovery']","['database administration', 'database architecture and administration', 'database systems', 'database management', 'database management systems', 'databases', 'operational databases', 'data maintenance', 'database design', 'data management', 'data integrity', 'data security', 'sql', 'data validation', 'system monitoring', 'security controls', 'performance tuning', 'query languages', 'disaster recovery']"
Google Advanced Data Analytics,Google,Data Storytelling,Data Visualization,A/B Testing,Sampling (Statistics),Data Analysis,Exploratory Data Analysis,Regression Analysis,Data Visualization Software,Data Presentation,Data Ethics,Feature Engineering,Statistical Hypothesis Testing,Analytics,Statistical Analysis,Data Science,Tableau Software,Machine Learning,Object Oriented Programming (OOP),Web Presence,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,Data Analyst,ADVANCED,THREE_TO_SIX_MONTHS,"['data storytelling', 'data visualization', 'a/b testing', 'sampling (statistics)', 'data analysis', 'exploratory data analysis', 'regression analysis', 'data visualization software', 'data presentation', 'data ethics', 'feature engineering', 'statistical hypothesis testing', 'analytics', 'statistical analysis', 'data science', 'tableau software', 'machine learning', 'object oriented programming (oop)', 'web presence']","['data storytelling', 'data visualization', 'a/b testing', 'sampling (statistics)', 'data analysis', 'exploratory data analysis', 'regression analysis', 'data visualization software', 'data presentation', 'data ethics', 'feature engineering', 'statistical hypothesis testing', 'analytics', 'statistical analysis', 'data science', 'tableau software', 'machine learning', 'object oriented programming (oop)', 'web presence']"
Meta Data Analyst,Meta,Data Storytelling,Business Metrics,Key Performance Indicators (KPIs),Data Management,Data Presentation,Data Collection,Data Governance,Bayesian Statistics,Data Visualization,Descriptive Statistics,Statistical Hypothesis Testing,Performance Metric,Information Privacy,Pandas (Python Package),Data Analysis,Data Visualization Software,Spreadsheet Software,Analytics,SQL,https://www.coursera.org/professional-certificates/meta-data-analyst,Data Analyst,BEGINNER,THREE_TO_SIX_MONTHS,"['data storytelling', 'business metrics', 'key performance indicators (kpis)', 'data management', 'data presentation', 'data collection', 'data governance', 'bayesian statistics', 'data visualization', 'descriptive statistics', 'statistical hypothesis testing', 'performance metric', 'information privacy', 'pandas (python package)', 'data analysis', 'data visualization software', 'spreadsheet software', 'analytics', 'sql']","['data storytelling', 'business metrics', 'key performance indicators (kpis)', 'data management', 'data presentation', 'data collection', 'data governance', 'bayesian statistics', 'data visualization', 'descriptive statistics', 'statistical hypothesis testing', 'performance metric', 'information privacy', 'pandas (python package)', 'data analysis', 'data visualization software', 'spreadsheet software', 'analytics', 'sql']"
Data Analytics Foundations,DeepLearning.AI,Data Storytelling,Google Sheets,Data Visualization,Statistical Visualization,Spreadsheet Software,Large Language Modeling,Data Literacy,Data Presentation,Data Visualization Software,Requirements Elicitation,LLM Application,Business Analysis,Requirements Analysis,Data Analysis,Analytics,Business Requirements,Analytical Skills,Exploratory Data Analysis,Data-Driven Decision-Making,https://www.coursera.org/learn/data-analytics-foundations,Data Analyst,BEGINNER,ONE_TO_FOUR_WEEKS,"['data storytelling', 'google sheets', 'data visualization', 'statistical visualization', 'spreadsheet software', 'large language modeling', 'data literacy', 'data presentation', 'data visualization software', 'requirements elicitation', 'llm application', 'business analysis', 'requirements analysis', 'data analysis', 'analytics', 'business requirements', 'analytical skills', 'exploratory data analysis', 'data-driven decision-making']","['data storytelling', 'google sheets', 'data visualization', 'statistical visualization', 'spreadsheet software', 'large language modeling', 'data literacy', 'data presentation', 'data visualization software', 'requirements elicitation', 'llm application', 'business analysis', 'requirements analysis', 'data analysis', 'analytics', 'business requirements', 'analytical skills', 'exploratory data analysis', 'data-driven decision-making']"
AI for Data Analysis,Google,Data Presentation,Interactive Data Visualization,Google Gemini,Analytics,Business Analytics,Performance Measurement,Data Wrangling,AI Personalization,Artificial Intelligence,Model Evaluation,Performance Analysis,AI Enablement,AI Workflows,Generative AI,Simulation and Simulation Software,Google Workspace,Responsible AI,,,https://www.coursera.org/learn/google-ai-for-data-analysis,AI Engineer,BEGINNER,ONE_TO_FOUR_WEEKS,"['data presentation', 'interactive data visualization', 'google gemini', 'analytics', 'business analytics', 'performance measurement', 'data wrangling', 'ai personalization', 'artificial intelligence', 'model evaluation', 'performance analysis', 'ai enablement', 'ai workflows', 'generative ai', 'simulation and simulation software', 'google workspace', 'responsible ai']","['data presentation', 'interactive data visualization', 'google gemini', 'analytics', 'business analytics', 'performance measurement', 'data wrangling', 'ai personalization', 'artificial intelligence', 'model evaluation', 'performance analysis', 'ai enablement', 'ai workflows', 'generative ai', 'simulation and simulation software', 'google workspace', 'responsible ai']"
Data Analysis and Visualization Foundations,IBM,Data Storytelling,Data Wrangling,Data Presentation,Interactive Data Visualization,Data Visualization Software,Dashboard,Big Data,Data Visualization,Microsoft Excel,Data Analysis,IBM Cognos Analytics,Statistical Visualization,Apache Hadoop,Statistical Analysis,Analytical Skills,Dashboard Creation,Excel Formulas,Data Cleansing,Pivot Tables And Charts,https://www.coursera.org/specializations/data-analysis-visualization-foundations,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['data storytelling', 'data wrangling', 'data presentation', 'interactive data visualization', 'data visualization software', 'dashboard', 'big data', 'data visualization', 'microsoft excel', 'data analysis', 'ibm cognos analytics', 'statistical visualization', 'apache hadoop', 'statistical analysis', 'analytical skills', 'dashboard creation', 'excel formulas', 'data cleansing', 'pivot tables and charts']","['data storytelling', 'data wrangling', 'data presentation', 'interactive data visualization', 'data visualization software', 'dashboard', 'big data', 'data visualization', 'microsoft excel', 'data analysis', 'ibm cognos analytics', 'statistical visualization', 'apache hadoop', 'statistical analysis', 'analytical skills', 'dashboard creation', 'excel formulas', 'data cleansing', 'pivot tables and charts']"
Introduction to Data Management,Meta,Data Management,Data Presentation,Data Storytelling,Data Collection,Data Governance,Data Analysis,Information Privacy,Data Quality,Data Storage,Data Storage Technologies,Data Security,Exploratory Data Analysis,Data-Driven Decision-Making,Data Architecture,Data Visualization Software,Big Data,Applied Machine Learning,Machine Learning Methods,Machine Learning,https://www.coursera.org/learn/introduction-to-data-management,General IT Specialist,BEGINNER,ONE_TO_FOUR_WEEKS,"['data management', 'data presentation', 'data storytelling', 'data collection', 'data governance', 'data analysis', 'information privacy', 'data quality', 'data storage', 'data storage technologies', 'data security', 'exploratory data analysis', 'data-driven decision-making', 'data architecture', 'data visualization software', 'big data', 'applied machine learning', 'machine learning methods', 'machine learning']","['data management', 'data presentation', 'data storytelling', 'data collection', 'data governance', 'data analysis', 'information privacy', 'data quality', 'data storage', 'data storage technologies', 'data security', 'exploratory data analysis', 'data-driven decision-making', 'data architecture', 'data visualization software', 'big data', 'applied machine learning', 'machine learning methods', 'machine learning']"
